DateTime,Entries,UniqueIPs
1538377724,6795,6795
1538379614,6791,6791
1538381559,6721,6721
1538383457,6721,6721
1538385408,6701,6701
1538387295,6703,6703
1538389234,6712,6712
1538391161,6824,6824
1538393181,6277,6277
1538395308,6865,6865
1538397154,8109,8109
1538399116,9336,9336
1538401008,10349,10349
1538402904,11139,11139
1538404837,10984,10984
1538406769,10999,10999
1538408670,11027,11027
1538410599,11049,11049
1538412508,11097,11097
1538414421,11125,11125
1538416352,11152,11152
1538418264,11183,11183
1538420186,11210,11210
1538422110,11237,11237
1538424116,11246,11246
1538425950,11247,11247
1538427881,11248,11248
1538430030,11261,11261
1538431950,11212,11212
1538433863,11410,11410
1538435808,11336,11336
1538437705,11337,11337
1538439623,11337,11337
1538441551,11337,11337
1538443474,11337,11337
1538445388,11340,11340
1538447779,11341,11341
1538449742,11341,11341
1538451640,11255,11255
1538453560,11232,11232
1538455703,10703,10703
1538457644,10129,10129
1538459540,9716,9716
1538461477,9716,9716
1538463376,8566,8566
1538465294,8566,8566
1538467305,8571,8571
1538469404,8569,8569
1538471334,8571,8571
1538473220,8573,8573
1538475170,8568,8568
1538477085,8442,8442
1538478980,8422,8422
1538480932,8179,8179
1538483083,6806,6806
1538484993,5139,5139
1538486892,4045,4045
1538488900,2765,2765
1538490747,2746,2746
1538492720,2680,2680
1538494598,2480,2480
1538496552,2457,2457
1538498436,2655,2655
1538500372,3374,3374
1538502279,3357,3357
1538504190,3332,3332
1538506107,3328,3328
1538508034,3326,3326
1538509946,3340,3340
1538511853,3364,3364
1538514073,3405,3405
1538515946,3424,3424
1538517875,3437,3437
1538519775,3799,3799
1538521725,3851,3851
1538523640,3879,3879
1538525563,3907,3907
1538527458,3932,3932
1538529387,3962,3962
1538531313,3979,3979
1538533231,4010,4010
1538535151,4035,4035
1538537072,4061,4061
1538538979,4075,4075
1538540898,3847,3847
1538543120,3850,3850
1538545004,3849,3849
1538547187,3830,3830
1538549081,3579,3579
1538550995,3582,3582
1538552918,3581,3581
1538554830,3633,3633
1538556759,3632,3632
1538558685,3629,3629
1538560599,3630,3630
1538562499,3632,3632
1538564482,3628,3628
1538566378,3679,3679
1538568344,3642,3642
1538570439,3640,3640
1538572339,3637,3637
1538574290,3637,3637
1538576183,3626,3626
1538578102,3627,3627
1538580031,3620,3620
1538581958,3617,3617
1538583872,3621,3621
1538585803,3626,3626
1538587695,3625,3625
1538589688,2776,2776
1538591549,2780,2780
1538593519,2784,2784
1538595378,2782,2782
1538597312,2784,2784
1538599475,2780,2780
1538601406,2773,2773
1538603305,2778,2778
1538605222,2783,2783
1538607147,2409,2409
1538609075,2408,2408
1538610985,2409,2409
1538612904,2410,2410
1538615069,2406,2406
1538616984,2409,2409
1538618911,2410,2410
1538620826,2408,2408
1538622744,2414,2414
1538624685,2416,2416
1538626593,2413,2413
1538628504,2419,2419
1538630412,2415,2415
1538632327,2412,2412
1538634267,2414,2414
1538636201,2311,2311
1538638114,2314,2314
1538640080,2316,2316
1538641959,2264,2264
1538643864,2262,2262
1538645799,2264,2264
1538647724,2263,2263
1538649640,2260,2260
1538651569,2204,2204
1538653476,2202,2202
1538655668,2204,2204
1538657547,2213,2213
1538659477,2210,2210
1538661412,2212,2212
1538663292,2583,2583
1538665279,3032,3032
1538667162,3032,3032
1538669085,3032,3032
1538670999,3026,3026
1538672930,3027,3027
1538674834,2945,2945
1538676741,2926,2926
1538678689,2927,2927
1538680591,3093,3093
1538682521,3091,3091
1538684442,3094,3094
1538686335,3095,3095
1538688274,3093,3093
1538690194,3090,3090
1538692117,3363,3363
1538694098,3158,3158
1538695949,3155,3155
1538697900,3155,3155
1538699774,3155,3155
1538701716,3160,3160
1538703872,3159,3159
1538705801,3157,3157
1538707731,3155,3155
1538709632,3962,3962
1538711551,4222,4222
1538713492,4274,4274
1538715386,4285,4285
1538717318,4288,4288
1538719282,4289,4289
1538721152,4127,4127
1538723112,4129,4129
1538724971,4125,4125
1538726926,4124,4124
1538728816,4121,4121
1538730997,4125,4125
1538732904,4130,4130
1538734835,4131,4131
1538736752,4132,4132
1538738666,4132,4132
1538740590,4133,4133
1538742522,4128,4128
1538744499,4118,4118
1538746353,4117,4117
1538748314,4221,4221
1538750426,4223,4223
1538752347,3395,3395
1538754292,3397,3397
1538756194,3399,3399
1538758346,3311,3311
1538760285,3314,3314
1538762199,3270,3270
1538764229,3269,3269
1538766089,3264,3264
1538767975,3086,3086
1538769879,3085,3085
1538771804,3085,3085
1538773705,3090,3090
1538775646,3092,3092
1538777566,3031,3031
1538779464,2742,2742
1538781395,2745,2745
1538783330,2748,2748
1538785236,2745,2745
1538787164,2748,2748
1538789126,2729,2729
1538791025,2695,2695
1538792935,2672,2672
1538794888,2643,2643
1538796760,1546,1546
1538798672,1513,1513
1538800611,1404,1404
1538802534,1375,1375
1538804571,1348,1348
1538806855,1313,1313
1538808767,1121,1121
1538810669,1091,1091
1538812604,1059,1059
1538814505,1037,1037
1538816498,1009,1009
1538818342,983,983
1538820278,955,955
1538822217,928,928
1538824107,927,927
1538826022,929,929
1538827958,1556,1556
1538829879,3578,3578
1538831786,5808,5808
1538833962,5701,5701
1538835875,5701,5701
1538837794,5709,5709
1538839697,5707,5707
1538841683,5708,5708
1538843558,5707,5707
1538845505,5713,5713
1538847378,5770,5770
1538851221,5766,5766
1538853145,5761,5761
1538855065,5762,5762
1538856997,5758,5758
1538858897,5758,5758
1538860837,5756,5756
1538862744,5755,5755
1538864676,5750,5750
1538866587,5727,5727
1538868503,5731,5731
1538870442,5730,5730
1538872358,5729,5729
1538874728,5727,5727
1538876685,5752,5752
1538878600,5754,5754
1538880514,5757,5757
1538882444,5757,5757
1538884338,5760,5760
1538886274,5762,5762
1538888213,5767,5767
1538890095,5768,5768
1538892176,5775,5775
1538894426,5624,5624
1538896354,5647,5647
1538898263,5651,5651
1538900193,5738,5738
1538902131,5739,5739
1538904018,5738,5738
1538905941,5733,5733
1538907864,5731,5731
1538909778,5730,5730
1538911718,5727,5727
1538914598,5229,5229
1538916510,5230,5230
1538918434,5232,5232
1538920370,5236,5236
1538922268,5239,5239
1538924204,5241,5241
1538926103,5247,5247
1538928111,5247,5247
1538929950,5247,5247
1538931920,5233,5233
1538933781,5176,5176
1538935956,5232,5232
1538937859,5240,5240
1538939800,5242,5242
1538941710,5243,5243
1538943627,5248,5248
1538945561,5249,5249
1538947480,5247,5247
1538949374,5290,5290
1538951324,5313,5313
1538953281,5315,5315
1538955167,5315,5315
1538957092,5317,5317
1538959218,5317,5317
1538961395,5321,5321
1538963307,5323,5323
1538965234,5305,5305
1538967154,5428,5428
1538969081,5784,5784
1538970985,5782,5782
1538972907,5792,5792
1538974884,5794,5794
1538976764,5795,5795
1538978681,5789,5789
1538980573,5795,5795
1538982505,5778,5778
1538984432,5798,5798
1538986361,5713,5713
1538988262,5707,5707
1538990201,5709,5709
1538992126,5709,5709
1538994037,5712,5712
1538995963,5711,5711
1538997861,5894,5894
1538999795,5893,5893
1539001716,5898,5898
1539003682,5895,5895
1539005556,5871,5871
1539007458,5876,5876
1539009637,5874,5874
1539011546,5877,5877
1539013477,3010,3010
1539015388,4212,4212
1539017293,5878,5878
1539019234,5878,5878
1539021150,5878,5878
1539023078,5828,5828
1539024978,5855,5855
1539027153,5870,5870
1539029099,6067,6067
1539030981,6068,6068
1539032868,6070,6070
1539034839,6024,6024
1539036763,6026,6026
1539038677,6031,6031
1539040609,6029,6029
1539042506,6268,6268
1539044438,6264,6264
1539046367,6272,6272
1539048304,6271,6271
1539050199,6271,6271
1539052096,6274,6274
1539054091,5799,5799
1539055959,5800,5800
1539057891,5805,5805
1539059808,5790,5790
1539061727,6076,6076
1539063622,6074,6074
1539065832,6077,6077
1539067703,6179,6179
1539069630,6179,6179
1539071804,6178,6178
1539073752,6196,6196
1539075864,6195,6195
1539078026,6193,6193
1539079954,6193,6193
