DateTime,Entries,UniqueIPs
1538762183,82549,82549
1538763413,82565,82565
1538764582,82561,82561
1538765539,82580,82580
1538766502,82682,82682
1538767455,82702,82702
1538768433,82713,82713
1538769410,82717,82717
1538770355,82725,82725
1538771298,82743,82743
1538772254,82780,82780
1538773220,82795,82795
1538774200,82800,82800
1538775141,82818,82818
1538776095,82823,82823
1538777082,82841,82841
1538778019,82854,82854
1538778996,82845,82845
1538779967,82848,82848
1538780939,82824,82824
1538781877,82817,82817
1538782813,82809,82809
1538783773,82800,82800
1538784756,82778,82778
1538785715,82805,82805
1538786676,82789,82789
1538787645,82762,82762
1538788584,82740,82740
1538789536,82728,82728
1538790494,82728,82728
1538791461,82723,82723
1538792411,82728,82728
1538793399,82754,82754
1538794358,82741,82741
1538795323,82733,82733
1538796271,82723,82723
1538797236,82718,82718
1538798198,82704,82704
1538799158,82694,82694
1538800092,82691,82691
1538801057,82678,82678
1538802019,82667,82667
1538802983,82666,82666
1538803944,82679,82679
1538804898,82665,82665
1538805862,82669,82669
1538806831,82663,82663
1538807798,82673,82673
1538808759,82652,82652
1538809699,82653,82653
1538810660,82645,82645
1538811615,82709,82709
1538812596,82725,82725
1538813538,82729,82729
1538814498,82716,82716
1538815481,82707,82707
1538816441,82665,82665
1538817380,82603,82603
1538818336,82551,82551
1538819294,82494,82494
1538820260,82504,82504
1538821212,82516,82516
1538822210,82582,82582
1538823137,82607,82607
1538824098,82632,82632
1538825054,82645,82645
1538826016,82646,82646
1538826983,82656,82656
1538827942,82660,82660
1538828894,82661,82661
1538829873,82671,82671
1538830817,82662,82662
1538831779,82669,82669
1538832737,82657,82657
1538833955,82653,82653
1538834911,82643,82643
1538835868,82629,82629
1538836812,82625,82625
1538837780,82617,82617
1538838748,82641,82641
1538839691,82624,82624
1538840658,82622,82622
1538841623,82635,82635
1538842579,82627,82627
1538843551,82626,82626
1538844490,82630,82630
1538845460,82654,82654
1538846418,82624,82624
1538847372,82603,82603
1538848332,82609,82609
1538849321,82577,82577
1538850253,82556,82556
1538851214,82532,82532
1538852173,82532,82532
1538853139,82519,82519
1538854095,82509,82509
1538855057,82499,82499
1538856017,82514,82514
1538856983,82521,82521
1538857940,82517,82517
1538858891,82505,82505
1538859860,82503,82503
1538860831,82486,82486
1538861779,82468,82468
1538862738,82472,82472
1538863718,82461,82461
1538864669,82466,82466
1538865624,82466,82466
1538866581,82456,82456
1538867543,82442,82442
1538868490,82427,82427
1538869457,82416,82416
1538870426,82413,82413
1538871386,82416,82416
1538872352,82423,82423
1538873291,82416,82416
1538874265,82411,82411
1538875249,82391,82391
1538876174,82392,82392
1538877155,82399,82399
1538878115,82395,82395
1538879053,82394,82394
1538880018,82390,82390
1538881006,82393,82393
1538881941,82395,82395
1538882889,82385,82385
1538883874,82384,82384
1538884830,82367,82367
1538885797,82382,82382
1538886754,82388,82388
1538887714,82391,82391
1538888663,82381,82381
1538889616,82361,82361
1538890592,82348,82348
1538891539,82351,82351
1538892501,82336,82336
1538893458,82339,82339
1538894418,82321,82321
1538895380,82321,82321
1538896345,82295,82295
1538897295,82299,82299
1538898256,82293,82293
1538899237,82284,82284
1538900185,82274,82274
1538901138,82270,82270
1538902122,82276,82276
1538903060,82280,82280
1538904010,82286,82286
1538904985,82297,82297
1538905932,82293,82293
1538906920,82279,82279
1538907853,82287,82287
1538908814,82292,82292
1538909769,82302,82302
1538910735,82311,82311
1538911710,82360,82360
1538912659,82340,82340
1538913660,82345,82345
1538914588,82352,82352
1538915553,82363,82363
1538916500,82380,82380
1538917478,82425,82425
1538918425,82353,82353
1538919381,82361,82361
1538920356,82375,82375
1538921295,82414,82414
1538922259,82323,82323
1538923214,82318,82318
1538924196,82326,82326
1538925131,82385,82385
1538926094,82302,82302
1538927054,82360,82360
1538928046,82279,82279
1538928983,82353,82353
1538929942,82352,82352
1538930893,82332,82332
1538931866,82299,82299
1538932815,82354,82354
1538933775,82359,82359
1538935491,82253,82253
1538936410,82203,82203
1538937385,82108,82108
1538938338,82103,82103
1538939309,82080,82080
1538940273,82083,82083
1538941212,82082,82082
1538942178,82100,82100
1538943132,82127,82127
1538944105,82115,82115
1538945067,82106,82106
1538946072,82112,82112
1538946988,82111,82111
1538947935,82126,82126
1538948893,82115,82115
1538949881,82096,82096
1538950812,82099,82099
1538951779,82086,82086
1538952733,82068,82068
1538953721,82060,82060
1538954652,82051,82051
1538955622,82023,82023
1538956571,82015,82015
1538957545,82010,82010
1538958493,81998,81998
1538959737,81917,81917
1538960918,81879,81879
1538961873,81861,81861
1538962826,81843,81843
1538963800,81866,81866
1538964735,81853,81853
1538965709,81847,81847
1538966662,81846,81846
1538967631,81827,81827
1538968591,81824,81824
1538969541,81827,81827
1538970496,81879,81879
1538971469,81869,81869
1538972409,81867,81867
1538973387,81882,81882
1538974358,81868,81868
1538975298,81965,81965
1538976257,81956,81956
1538977215,81942,81942
1538978174,81929,81929
1538979145,81862,81862
1538980100,81933,81933
1538981061,81909,81909
1538982018,81936,81936
1538982994,81860,81860
1538983943,81882,81882
1538984899,81955,81955
1538985857,81946,81946
1538986819,81860,81860
1538987791,81928,81928
1538988737,81893,81893
1538989698,81966,81966
1538990662,81899,81899
1538991612,81966,81966
1538992578,81971,81971
1538993539,81938,81938
1538994498,81939,81939
1538995473,81930,81930
1538996479,81917,81917
1538997395,81913,81913
1538998344,81925,81925
1538999293,81989,81989
1539000280,81999,81999
1539001222,81987,81987
1539002190,81981,81981
1539003133,81999,81999
1539004223,82003,82003
1539005286,81963,81963
1539006274,81903,81903
1539007226,81957,81957
1539008177,81949,81949
1539009139,81927,81927
1539010097,81862,81862
1539011081,81922,81922
1539012010,81924,81924
1539012971,81936,81936
1539013936,81932,81932
1539014945,81964,81964
1539015852,81962,81962
1539016811,81980,81980
1539017790,81996,81996
1539018733,82012,82012
1539019689,82011,82011
1539020673,82008,82008
1539021619,82008,82008
1539022586,82023,82023
1539023539,82015,82015
1539024514,82022,82022
1539025717,82042,82042
1539026688,82059,82059
1539027610,82062,82062
1539028576,82053,82053
1539029535,82067,82067
1539030506,82037,82037
1539031462,82045,82045
1539032422,82048,82048
1539033421,82049,82049
1539034340,82062,82062
1539035297,82034,82034
1539036266,82050,82050
1539037215,82069,82069
1539038191,82076,82076
1539039162,82105,82105
1539040096,82134,82134
1539041062,82134,82134
1539042011,82140,82140
1539042996,82154,82154
1539043943,82166,82166
1539044893,82204,82204
1539045855,82226,82226
1539046843,82259,82259
1539047780,82257,82257
1539048740,82277,82277
1539049696,82313,82313
1539050664,82331,82331
1539051616,82357,82357
1539052595,82349,82349
1539053532,82347,82347
1539054505,82345,82345
1539055454,82367,82367
1539056419,82342,82342
1539057373,82359,82359
1539058352,82354,82354
1539059302,82357,82357
1539060263,82372,82372
1539061234,82399,82399
1539062191,82385,82385
1539063136,82372,82372
1539064120,82344,82344
1539065306,82348,82348
1539066261,82367,82367
1539067213,82385,82385
1539068188,82403,82403
1539069135,82405,82405
1539070104,82431,82431
1539071053,82446,82446
1539072272,82433,82433
1539073217,82444,82444
1539074189,82423,82423
1539075132,82422,82422
1539076117,82424,82424
1539077055,82389,82389
1539078018,82401,82401
1539078973,82407,82407
1539079944,82413,82413
