DateTime,AddedIPs,RemovedIPs
1538841623,25,38
1538842579,28,60
1538843551,35,41
1538844490,29,40
1538845460,40,38
1538846418,24,43
1538847372,24,44
1538848332,34,58
1538849321,29,46
1538850253,29,44
1538851214,32,40
1538852173,29,32
1538853139,21,43
1538854095,34,45
1538855057,34,37
1538856017,29,33
1538856983,35,40
1538857940,40,41
1538858891,29,37
1538859860,22,46
1538860831,14,38
1538861779,18,36
1538862738,29,46
1538863718,25,62
1538864669,41,51
1538865131,9,0
1538865624,34,36
1538866581,32,31
1538867543,30,44
1538868490,26,57
1538868976,14,18
1538869457,27,0
1538870426,31,39
1538871386,34,54
1538872352,48,41
1538872821,17,30
1538873291,42,66
1538874265,31,42
1538875249,31,44
1538876174,35,43
1538877155,44,60
1538878115,24,39
1538879053,34,41
1538880018,32,30
1538881006,31,35
1538881941,35,40
1538882889,29,26
1538883874,26,42
1538884830,31,34
1538885797,86,72
1538886754,35,44
1538887714,30,33
1538888663,44,57
1538889616,26,38
1538890592,35,35
1538891539,34,31
1538892501,38,32
1538893458,39,28
1538894418,35,15
1538895380,42,25
1538896345,31,23
1538897295,36,14
1538898256,32,39
1538899237,36,38
1538900185,29,43
1538901138,35,39
1538902122,34,35
1538903060,41,47
1538903533,29,15
1538904010,30,53
1538904985,46,39
1538905932,23,29
1538906920,27,36
1538907853,30,36
1538908814,34,38
1538909769,39,41
1538910735,33,56
1538911710,27,32
1538912659,42,33
1538913660,25,33
1538914588,895,1219
1538915553,42,32
1538916500,44,43
1538917478,36,32
1538918425,30,43
1538919381,40,36
1538920356,51,30
1538921295,29,37
1538922259,22,33
1538923214,32,22
1538924196,31,19
1538925131,46,28
1538926094,32,44
1538927054,35,48
1538928046,33,43
1538928983,45,25
1538929942,31,44
1538930893,36,25
1538931866,39,33
1538932815,33,36
1538933775,38,44
1538935491,32,64
1538936410,33,0
1538937385,26,62
1538938338,28,0
1538939309,25,72
1538940273,28,34
1538941212,33,0
1538942178,37,25
1538943132,36,43
1538944105,27,76
1538945067,41,0
1538946072,26,67
1538946988,23,0
1538947935,26,30
1538948893,14,30
1538949881,33,57
1538950812,24,0
1538951779,22,25
1538952733,29,29
1538953721,46,91
1538954652,29,44
1538955622,22,37
1538956571,24,52
1538957545,56,83
1538958493,25,49
1538959737,29,44
1538960918,30,45
1538961873,29,35
1538962826,35,51
1538963800,36,31
1538964735,43,33
1538965709,28,14
1538966662,38,31
1538967631,36,36
1538968591,45,37
1538969541,31,34
1538970496,49,31
1538971469,31,38
1538972409,77,77
1538973387,44,28
1538974358,50,34
1538975298,86,24
1538976257,53,27
1538977215,27,39
1538978174,26,28
1538979145,45,33
1538980100,43,37
1538981061,39,22
1538982018,59,26
1538982994,44,26
1538983943,43,24
1538984899,43,43
1538985857,34,59
1538986819,50,29
1538987791,42,32
1538988737,42,37
1538989698,57,27
1538990662,48,36
1538991612,39,34
1538992097,25,24
1538992578,37,57
1538993539,44,45
1538994498,32,36
1538995473,36,31
1538996479,50,58
1538997395,49,35
1538998344,53,47
1538999293,46,41
1539000280,42,42
1539001222,930,1514
1539002190,44,42
1539003133,47,30
1539004223,33,45
1539005286,34,38
1539006274,47,50
1539007226,38,46
1539008177,47,47
1539009139,34,34
1539010097,43,33
1539011081,47,42
1539012010,31,33
1539012971,41,44
1539013936,36,29
1539014945,55,34
1539015852,29,56
1539016811,45,52
1539017790,40,52
1539018733,44,46
1539019689,32,45
1539020673,41,25
1539021619,32,35
1539022586,39,37
1539023539,40,37
1539024514,37,24
1539025717,39,1261
1539026688,34,30
1539027610,37,43
1539028576,29,45
1539029535,30,41
1539030506,33,40
1539031462,34,25
1539032422,39,30
1539033421,29,33
1539034340,41,31
1539035297,23,37
1539036266,39,24
1539037215,46,25
1539038191,41,45
1539038655,18,12
1539039162,31,40
1539040096,61,49
1539041062,41,31
1539042011,41,33
1539042489,24,16
1539042996,50,48
1539043943,56,44
1539044893,56,38
1539045855,57,42
1539046332,14,50
1539046843,61,32
1539047780,43,38
1539048740,55,33
1539049696,54,49
1539050664,47,60
1539051616,53,30
1539052595,38,38
1539053532,34,36
1539054505,50,31
1539055454,43,38
1539056419,28,29
1539057373,42,47
1539058352,95,88
1539059302,38,35
1539060263,41,36
1539061234,50,40
1539062191,46,44
1539063136,39,36
1539064120,45,32
1539065306,54,32
1539066261,52,52
1539067213,46,40
1539068188,45,39
1539069135,45,39
1539070104,47,46
1539071053,42,39
1539072272,45,42
1539073217,46,47
1539074189,32,46
1539075132,45,54
1539076117,51,40
1539077055,48,42
1539077533,25,26
1539078018,47,55
1539078973,45,64
1539079944,32,55
